OTUID	10A	10B	10C	11A	11B	11C	12A	12B	12C	14A	14B	14C	15A	15B	15C	16A	16B	16C	17A	17B	17C	1A	1C	1D	2B	2C	3B	3C	4A	4B	4C	5A	5B	5C	6B	7A	7B	7C	8A	8B	8C	9A	9B	9C
RS-GCF-013280765.1-NZ-WCFP01000088.1	16.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20585.0	21711.0	20136.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	12.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0
RS-GCF-000165775.1-NC-018528.1--4	0.0	7.0	0.0	0.0	0.0	0.0	704.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	15912.0	41153.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	36.0	8.0	0.0	0.0
GB-GCA-900767615.1-CAAFZU010000193.1	1099.0	388.0	129.0	66.0	34.0	48.0	4553.0	63.0	46.0	91.0	90.0	138.0	80.0	41.0	74.0	28.0	49.0	48.0	43.0	64.0	25.0	1043.0	922.0	513.0	1990.0	2477.0	648.0	542.0	500.0	1241.0	927.0	729.0	632.0	775.0	1631.0	23533.0	1155.0	111.0	3496.0	99.0	63.0	4244.0	120.0	29.0
RS-GCF-002271275.1-NZ-MNLA01000013.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10095.0	38781.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	3.0	9.0	0.0
RS-GCF-012955485.1-NZ-CP052065.1--5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13027.0	31954.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GB-GCA-000529385.1-CBVR010000030.1	116.0	0.0	0.0	0.0	0.0	7.0	1245.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	14.0	2.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	229.0	16726.0	9061.0	0.0	0.0	0.0	15978.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	345.0	4.0	6.0
MJ010-2-barcode55-umi120192bins-ubs-4	0.0	0.0	0.0	0.0	0.0	0.0	14704.0	13371.0	15135.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GB-GCA-018326525.1-BJIB01000024.1	55.0	0.0	0.0	10.0	0.0	0.0	172.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	6.0	0.0	0.0	169.0	14962.0	8926.0	0.0	0.0	0.0	13739.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	11.0	10.0	0.0	0.0	0.0
RS-GCF-003955865.1-NZ-CP019581.1--4	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4566.0	12297.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RS-GCF-003121625.1-NZ-QDDJ01000039.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4142.0	3612.0	3602.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RS-GCF-000311945.1-NZ-AMQW01000042.1	1709.0	1451.0	1616.0	402.0	240.0	623.0	120.0	0.0	29.0	791.0	1079.0	2093.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	234.0	426.0	115.0	0.0	614.0	829.0	992.0	53.0	454.0	627.0	0.0	0.0	0.0	0.0	1066.0	1518.0	1356.0	0.0	0.0	0.0
RS-GCF-018619375.1-NZ-JAHHFT010000043.1	141.0	41.0	0.0	0.0	0.0	0.0	389.0	12.0	0.0	0.0	16.0	21.0	0.0	0.0	11.0	0.0	7.0	0.0	0.0	0.0	0.0	70.0	91.0	48.0	326.0	264.0	111.0	55.0	68.0	135.0	121.0	67.0	64.0	79.0	187.0	2719.0	128.0	0.0	69.0	13.0	20.0	277.0	12.0	0.0
RS-GCF-001719665.1-NZ-MDTW01000047.1	191.0	61.0	24.0	16.0	0.0	3.0	515.0	15.0	14.0	17.0	0.0	40.0	0.0	14.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	56.0	16.0	97.0	101.0	18.0	19.0	30.0	71.0	27.0	20.0	16.0	45.0	79.0	684.0	32.0	0.0	441.0	23.0	22.0	544.0	15.0	11.0
GB-GCA-000180035.1-AEKM01000011.1--2	8.0	11.0	14.0	0.0	0.0	0.0	195.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	78.0	19.0	170.0	110.0	40.0	36.0	22.0	68.0	63.0	36.0	40.0	28.0	90.0	1245.0	42.0	10.0	514.0	0.0	0.0	0.0	0.0	0.0
AJ270258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	883.0	650.0	852.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MJ031-2-barcode74-umi33277bins-ubs-12	0.0	0.0	0.0	0.0	0.0	0.0	60.0	65.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	218.0	267.0	136.0	0.0	0.0	154.0	92.0	0.0	0.0	0.0	159.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	320.0	406.0	302.0
RS-GCF-013096875.1-NZ-SDLD01000120.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	591.0	1771.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
