"Number","Brand","B.subtilis_","B.animalis.B.lactis","B.bifidum","B.breve","B.longum.B.infantis","L.paracasei","L.rhamnosus","L.plantarum_A_","L.acidophilus.L.helveticus","L.delbrueckii","L.salivarius","L.fermentum","L.reuteri","S.parasanguinis","S.thermophilus","W.coagulans","Other"
"10C","Brand 10",0,0.0258862422576274,0,0.00101231114973962,0.0186554483309158,0,99.7926208301819,0,0.00115692702827385,0.000723079392671157,0,0.00867695271205388,0.0416493730178586,0.00202462229947924,0.0206800706303951,0.0289231757068463,0.0579909672922268
"11C","Brand 11",0,40.6415473508452,0,0,0.00482897085344631,0,47.8318849516267,0.0027859447231421,11.4801352854758,0,0.00130010753746631,0.00482897085344631,0.013743993967501,0,0.00891502311405472,0,0.0100294010033116
"11A","Brand 11",0,38.8752247319246,0.00256470099433458,0.00153882059660075,0.0184658471592089,0,50.1868384674373,0.00564234218753607,10.7281442593015,0.00153882059660075,0,0.00435999169036878,0.0469340281963227,0,0.0169270265626082,0.0418046262076536,0.0700163371453339
"11B","Brand 11",0,40.3749652211932,0,0,0.0039747207758655,0,48.0454310584681,0,11.4829683214754,0,0,0,0.0136631026670376,0,0.00844628164871418,0.0268293652370921,0.0437219285345204
"12A","Brand 12",0,30.8039733043613,0.0333695483470433,0.177130218842154,10.5930855191681,0.178682290858296,8.7226447307155,20.0909902219463,5.65691448083191,0.0477262144963526,0.241541207512029,0.504229396243986,21.1725904081949,0.113301257178333,1.02029334161105,0,0.64352785969269
"12B","Brand 12",0,32.1189276748158,0,0,8.94261440423344,0,7.11186165323529,24.6790601122488,6.65061076552922,0,0,0.00665037325219878,20.4335093307112,0.00285015996522805,0.0149633398174473,0,0.03895218619145
"12C","Brand 12",0,31.9762732076403,0,0,9.22630918847791,0,7.02962764973169,25.1931656968974,6.93217098094044,0,0,0.00267286222423258,19.5838559121656,0,0.00945782017805375,0,0.046466681744351
"14A","Brand 14",0,0.0144817752428482,0,0,0.00153172622760895,0,99.8707780055254,0,0,0.000835487033241244,0,0.00515217003832101,0.0317485072631673,0,0.0126715533374922,0,0.0628007753319668
"14B","Brand 14",0,0.00189785731908675,0,0,0.00120772738487339,0,99.9287440842925,0,0,0,0,0.00655623437502696,0.0212214954770609,0.00276051973685346,0.0155279235198007,0,0.0220841578948276
"14C","Brand 14",0,0.0278580514803366,0.00528631699777471,0.00578977575946754,0.0319696313674947,0,99.8492980106666,0.00478285823608188,0,0,0.00151037628507849,0.00268511339569509,0.0367524896035766,0.0017621056659249,0.0115795515189351,0,0.0207257190230215
"15B","Brand 15",0,99.9661107783487,0,0,0.00110337000725072,0,0.00535922574950348,0,0,0.00063049714700041,0,0.00362535859525236,0.00725071719050471,0.00157624286750102,0.0064625957567542,0.000472872860250307,0.00740834147725482
"15C","Brand 15",0,99.9124155562464,0,0.00099366467791779,0.00922688629495091,0,0.0106464072634049,0.00681370064857913,0,0,0.00198732935583558,0.00567808387381594,0.0291001798533067,0.00298099403375337,0.0105044551665595,0.000425856290536196,0.00922688629495091
"15A","Brand 15",0,99.7712182358967,0,0.00293112172485715,0.00138842608019549,0.0340935737470226,0.114776555962827,0,0.00570797388524813,0.0143470694953534,0,0.00431954780505264,0.00215977390252632,0,0.0243745911856542,0,0.0246831303145865
"16A","Brand 16",0,17.0793247984735,0,9.07662244262942,0.0101701564024767,25.8278386238326,0.0268782704922598,2.07737551849637,7.97001256740755,0,0.000484293162022699,0.00121073290505675,0.0203403128049533,0,37.8908548500749,0,0.0188874333188853
"16C","Brand 16",0,17.8008682607894,0,9.31410103552022,0.00321327522378771,29.1877009354013,0.0596992712630032,2.14849728647363,6.36549821832345,0,0,0.00135295798896325,0.00152207773758365,0,35.0935316769745,0.0152207773758365,0.00879422692826109
"16B","Brand 16",0,17.4554424425352,0,8.99932485206317,0.00198572922596275,27.7251927260532,0.0690592497473711,1.99212768680196,7.64660197602122,0,0,0.00419209503258802,0.0024270023872878,0.00154445606463769,36.0906286818729,0,0.0114731021944514
"17B","Brand 17",0.740116546878313,0.0175478361324569,0,0.000913949798565464,0.00456974899282732,0,0.0261389642389723,0,0.00621485863024516,0,0,0.00438695903311423,0.00329021927483567,0,0.0116985574216379,98.9178834384985,0.267238921100542
"17C","Brand 17",0.777484061576738,0.0309097322041484,0.00303408414273849,0.008533361651452,0.093866978165972,0.00701631958008276,0.0269274967668041,0.00549927750871351,0.00493038673195004,0,0.00151704207136924,0.0068266893211616,0.0149807904547713,0,0.0130844878655597,98.7071008946755,0.298288397282978
"17A","Brand 17",0.857356505595379,0.0388619167949785,0,0.00331523460810243,0,0.0707250049728519,0.0414404326012804,0.00165761730405122,0.00570957071395419,0,0,0.00552539101350406,0,0,0.0318630881778734,98.6230725594348,0.320472678783235
